Country,Year,Risk,Value,Sex,Age
Cambodia,2014,Ambient Particulate Matter,32.44,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,1.008607,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,443.8571,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,0.323,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,2.37,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,495.6343,Both,More than 64 years old
Singapore,2014,Ambient Particulate Matter,13919.0,Both,More than 64 years old
Singapore,2014,Ambient Particulate Matter,1618.189,Both,More than 64 years old
Singapore,2014,Ambient Particulate Matter,776.0,Both,More than 64 years old
Singapore,2014,Ambient Particulate Matter,8.01,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,275.759,Both,All
Philippines,2014,Ambient Particulate Matter,947821.0,Both,All
Philippines,2014,Ambient Particulate Matter,7.3,Both,All
Philippines,2014,Ambient Particulate Matter,27709.0,Both,All
Philippines,2014,Ambient Particulate Matter,6.23,Both,All
Philippines,2014,Ambient Particulate Matter,9.433,Both,All
Myanmar,2014,Ambient Particulate Matter,209.88,Both,All
Myanmar,2014,Ambient Particulate Matter,5.04428,Both,All
Philippines,2014,Ambient Particulate Matter,15.50021,Both,All
Philippines,2014,Ambient Particulate Matter,0.81,Both,All
Myanmar,2014,Ambient Particulate Matter,7.88,Both,All
Myanmar,2014,Ambient Particulate Matter,10969.3,Both,All
Timor-Leste,2014,Ambient Particulate Matter,1.900437,Both,All
Timor-Leste,2014,Ambient Particulate Matter,54.73,Both,All
Timor-Leste,2014,Ambient Particulate Matter,169.0,Both,All
Timor-Leste,2014,Ambient Particulate Matter,0.16243,Both,All
Timor-Leste,2014,Ambient Particulate Matter,3.87,Both,All
Timor-Leste,2014,Ambient Particulate Matter,0.38,Both,All
Timor-Leste,2014,Ambient Particulate Matter,6036.0,Both,All
Timor-Leste,2014,Ambient Particulate Matter,144.028,Both,All
Singapore,2014,Ambient Particulate Matter,198.654,Both,All
Singapore,2014,Ambient Particulate Matter,30497.0,Both,All
Thailand,2014,Ambient Particulate Matter,26828.0,Both,All
Thailand,2014,Ambient Particulate Matter,10.88,Both,All
Thailand,2014,Ambient Particulate Matter,392.163,Both,All
Thailand,2014,Ambient Particulate Matter,771919.0,Both,All
Thailand,2014,Ambient Particulate Matter,9.08,Both,All
Thailand,2014,Ambient Particulate Matter,11.284,Both,All
Singapore,2014,Ambient Particulate Matter,7.05,Both,All
Singapore,2014,Ambient Particulate Matter,6.01726,Both,All
Thailand,2014,Ambient Particulate Matter,1.68,Both,All
Thailand,2014,Ambient Particulate Matter,21.08407,Both,All
Thailand,2014,Ambient Particulate Matter,45070.62,Both,All
Thailand,2014,Ambient Particulate Matter,10.88,Both,All
Thailand,2014,Ambient Particulate Matter,4.275386,Both,All
Thailand,2014,Ambient Particulate Matter,658.82,Both,All
Malaysia,2014,Ambient Particulate Matter,9.95,Both,All
Malaysia,2014,Ambient Particulate Matter,9.519,Both,All
Malaysia,2014,Ambient Particulate Matter,11.73,Both,All
Malaysia,2014,Ambient Particulate Matter,23285.06,Both,All
Myanmar,2014,Ambient Particulate Matter,6.67,Both,All
Myanmar,2014,Ambient Particulate Matter,13.245,Both,All
Singapore,2014,Ambient Particulate Matter,5.545,Both,All
Singapore,2014,Ambient Particulate Matter,9.17,Both,All
Malaysia,2014,Ambient Particulate Matter,3.84468,Both,All
Malaysia,2014,Ambient Particulate Matter,2.482,Both,All
Malaysia,2014,Ambient Particulate Matter,284228.0,Both,All
Malaysia,2014,Ambient Particulate Matter,314.15,Both,All
Malaysia,2014,Ambient Particulate Matter,11.73,Both,All
Malaysia,2014,Ambient Particulate Matter,9380.0,Both,All
Malaysia,2014,Ambient Particulate Matter,779.85,Both,All
Malaysia,2014,Ambient Particulate Matter,3.259373,Both,All
Myanmar,2014,Ambient Particulate Matter,21340.0,Both,All
Myanmar,2014,Ambient Particulate Matter,7.88,Both,All
Myanmar,2014,Ambient Particulate Matter,408.307,Both,All
Myanmar,2014,Ambient Particulate Matter,692249.0,Both,All
Myanmar,2014,Ambient Particulate Matter,0.514,Both,All
